id,name,topology,expected,FULL_status,FULL_score,NO_BIPOLAR_status,NO_BIPOLAR_score,NO_VALUE_TAGS_status,NO_VALUE_TAGS_score,NO_WEIGHTS_status,NO_WEIGHTS_score,NO_GRADUAL_status,NO_GRADUAL_score
BIP-03,Heavy attack overwhelms light support,BIP,OUT,OUT,0.421,OUT,0.289,IN,0.5,IN,0.826,OUT,0.0
BIP-04,Support chain,BIP,IN,IN,1.0,IN,1.0,IN,1.0,IN,1.0,IN,1.0
BIP-05,Two supports vs two attacks,BIP,IN,IN,1.0,OUT,0.316,IN,1.0,IN,0.971,OUT,0.0
BIP-06,Support a defender,BIP,IN,IN,0.699,IN,0.699,IN,0.726,IN,0.637,IN,1.0
BIP-07,Counter via support,BIP,IN,IN,1.0,OUT,0.481,IN,1.0,IN,1.0,OUT,0.0
BIP-08,Emotion support boost,BIP,OUT,IN,0.833,IN,0.5,IN,1.0,IN,0.818,OUT,0.0
BIP-09,Fact support boost,BIP,IN,IN,1.0,OUT,0.452,IN,1.0,IN,1.0,OUT,0.0
BIP-10,Bipolar with cycle-like,BIP,OUT,IN,0.955,IN,0.503,IN,1.0,IN,0.952,OUT,0.0
BIP-11,Double support same target,BIP,IN,IN,1.0,IN,0.505,IN,1.0,IN,1.0,OUT,0.0
BIP-12,Attack the supporter,BIP,OUT,IN,1.0,IN,1.0,IN,1.0,IN,1.0,IN,1.0
BIP-13,Triple support stack,BIP,IN,IN,1.0,OUT,0.481,IN,1.0,IN,1.0,OUT,0.0
BIP-14,Heavy Fact support saves Logic root,BIP,IN,IN,1.0,OUT,0.433,IN,1.0,IN,1.0,OUT,0.0
BIP-15,Bipolar with all Emotion,BIP,IN,IN,1.0,IN,0.5,IN,1.0,IN,1.0,OUT,0.0
LNG-01,Climate debate (12 nodes),LNG,IN,IN,1.0,OUT,0.228,IN,1.0,IN,1.0,OUT,0.0
LNG-02,Tech regulation (10 nodes),LNG,IN,IN,1.0,OUT,0.321,IN,1.0,IN,1.0,OUT,0.0
LNG-03,Education policy (11 nodes),LNG,IN,IN,1.0,OUT,0.4,IN,1.0,IN,1.0,IN,1.0
LNG-04,Vegetarian ethics (10 nodes),LNG,IN,IN,1.0,OUT,0.387,IN,1.0,IN,1.0,IN,1.0
LNG-05,Crypto debate (10 nodes),LNG,OUT,OUT,0.301,OUT,0.163,OUT,0.338,OUT,0.398,OUT,0.0
LNG-06,Privacy vs security (12 nodes),LNG,OUT,OUT,0.201,OUT,0.11,OUT,0.196,OUT,0.228,OUT,0.0
LNG-07,AI in art (10 nodes),LNG,OUT,OUT,0.245,OUT,0.245,OUT,0.26,OUT,0.258,OUT,0.0
LNG-08,Space exploration (10 nodes),LNG,OUT,OUT,0.492,OUT,0.247,OUT,0.493,IN,0.571,OUT,0.0
LNG-09,Nuclear power (11 nodes),LNG,IN,OUT,0.461,OUT,0.322,OUT,0.463,OUT,0.497,IN,1.0
LNG-10,Public transit (10 nodes),LNG,IN,IN,1.0,OUT,0.36,IN,1.0,IN,1.0,OUT,0.0
LNG-11,Universal basic income (12 nodes),LNG,IN,IN,1.0,OUT,0.338,IN,1.0,IN,1.0,IN,1.0
LNG-12,Drug decriminalisation (10 nodes),LNG,IN,IN,1.0,OUT,0.342,IN,0.896,IN,1.0,OUT,0.0
LNG-13,Open borders (12 nodes),LNG,OUT,IN,0.743,OUT,0.208,IN,0.743,IN,0.751,OUT,0.0
LNG-14,Animal testing (10 nodes),LNG,IN,IN,1.0,OUT,0.414,IN,1.0,IN,1.0,IN,1.0
LNG-15,Tech monopolies (11 nodes),LNG,IN,IN,0.754,OUT,0.343,IN,0.729,IN,0.687,IN,1.0
